Node:,1. Node 1:,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68
"Condensate Fee
(Pumps PM-53688A",,,"d from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column
/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drawings / References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99-DWG-5906 ; 99-DWG-5906 Redline; 99-DWG-3609; 99-DWG-3609 Redline; 99-DWG-5128; 99-DWG-7145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deviation,,,,,,Causes,,,,,,,,,,,,,,,,,,,,,,,,Consequences,,,,,,,,,,,,,,,,,,,,,,Safeguards,,,,,CAT,S,L,"R
R",Recommendations,,,,Remark,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1. Low/No Flow,,,,,,"1.1.1. 8"" manual valve downstream of
Condensate Feed Pumps PM-53688A/B/C
inadvertently closed",,,,,,,,,,,,,,,,,,,,,,,,"1.1.1.1. Blocked discharge from Condensate Feed Pumps PM-
111A/B/C; Pump deadhead; Potential seal failure and release of
hydrocarbons; Potential ignition and personnel impact",,,,,,,,,,,,,,,,,,,,,,"446. PM-53688A/B/C
located in feed tank
dike/containment",,,,,P,4,1,2,"60. Ensure that lower explosive limit LEL
alarms AT-98749/9102/9103/9104 will
prompt operators to cordon off the area.",,,,"1. The location
of the
Condensate
Feed Pumps
PM-53688A/B/C
does not have
close by
ignition sources
- only sources
would be if a
truck would
drive into the
dike area.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"447. Area lower
explosive limit LEL
alarms AT-
98749/9102/9103/9104
will prompt operators
to cordon off the area",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2. Tandem seal - level
switch on seal pot trips
condensate feed pump
PM-53688A/B/C",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.1.1.2. Loss of feed flow through the downstream exchanges; See
high temperature deviation, this node",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"1.1.2. Flow control valve FCV-73778 malfunctions
closed or upstream/downstream manual valve(s)
inadvertently closed",,,,,,,,,,,,,,,,,,,,,,,,"1.1.2.1. Blocked discharge from Condensate Feed Pumps PM-
111A/B/C; Pump deadhead; Potential seal failure and release of
hydrocarbons; Potential ignition and personnel impact",,,,,,,,,,,,,,,,,,,,,,"446. PM-53688A/B/C
located in feed tank
dike/containment",,,,,P,4,1,2,"60. Ensure that lower explosive limit LEL
alarms AT-98749/9102/9103/9104 will
prompt operators to cordon off the area.",,,,"1. The location
of the
Condensate
Feed Pumps
PM-53688A/B/C
does not have
close by
ignition sources
- only sources
would be if a
truck would
drive into the
dike area.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"447. Area lower
explosive limit LEL
alarms AT-
98749/9102/9103/9104
will prompt operators
to cordon off the area",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2. Tandem seal - level
switch on seal pot trips
condensate feed pump
PM-53688A/B/C",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.1.2.2. Loss of feed flow through the downstream exchanges; See
high temperature deviation, this node",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"1.1.3. 8"" manual valve downstream of EX-56446
inadvertently closed",,,,,,,,,,,,,,,,,,,,,,,,"1.1.3.1. Blocked in flow from EX-56446; Potential thermal expansion
and release with potential ignition and personnel impact",,,,,,,,,,,,,,,,,,,,,,"452. 8"" valve on feed
outlet from EX-56446/103
is CSO",,,,,P,4,1,2,61. No recommendations required.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"453. PSV-22714 (set
@ 305 psig) on outlet
of EX-56446 is sized for
thermal expansion",,,,,,,,,,,,,,,,
1.2. High Flow,,,,,,"1.2.1. Flow control valve FCV-73778 fails open or
bypass valve inadvertently opened",,,,,,,,,,,,,,,,,,,,,,,,"1.2.1.1. Increased feed to Naphtha Stabilizer Column T-81314,
reduced temperature in T-81314, potential for off-spec product,
potential financial impact",,,,,,,,,,,,,,,,,,,,,,"578. LAH-70445 high
level alarm on
Stabilizer T-81314 will
prompt operator
response",,,,,F,2,3,2,61. No recommendations required.,,,,,,,
"1.3. Reverse/Misdirected
Flow",,,,,,"1.3.1. Tube leak/rupture on Heat Exchanger EX-
101",,,,,,,,,,,,,,,,,,,,,,,,"1.3.1.1. Shell and Tube MAWP both listed as 14664 psig @ 450 degF;
Feed typically flows through the tubes at ~200-250 psig, therefore",,,,,,,,,,,,,,,,,,,,,,"448. No specific
safeguards identified",,,,,F,1,4,2,61. No recommendations required.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Node:,1. Node 1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Condensate Fee
(Pumps PM-53688A",,,"d from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column
/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drawings / References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
