Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Title: DEMO Process Process Hazard
Analysis Study
Study Date: 2024/03/25-2024/04/15",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
DEMO Process Unit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Table 3 – PHA Study Nodes/Topics Modified,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Nodes,,,,,,,,,Design Conditions/Parameters,,,,"Drawings /
References",,,Equipment,,,,,,
,,,,,,,,,,,,,,,,Tag,Description,,,,,
"1. Node 1:
Condensate Feed from
Condenensate Feed Pumps
to Condensate Feed
Filter/Coalescer through
Preheaters to VOC
Stabilizer Column
(Pumps PM-53688A/B, Filter
FI-81314A/B, Heat Exchanger
EX-81314/102/103/104/105)",,,,,,,,,"Feed from 97415-1/2/3 at ambient
temperature; Desalter runs ~175-
180 degF, Desalter pressure ~140
psig, 1600 GPM maximum rate. Tie-
in to Desalter between downstream
of Heat Exchanger EX-59524 and
upstream of Heat Exchanger EX-
105. Coalescers FL-81314A/B are
currently bypassed.
PM-53688A/B/C:
- 1472 GPM @ 776' TDH
FL-81314A/B (permanently bypassed):
- MAWP = 325 psig @ 120 degF
- Capacity = 1460 GPM
EX-81314:
- Shell MAWP = 305 psig @ 450
degF
- Tube MAWP = 305 psig @ 450
degF
- Duty = 1.34 MMBTU/Hr
EX-56446:
- Shell MAWP = 305 psig @ 450
degF
- Tube MAWP = 305 psig @ 450
degF
- Duty = 13.6 MMBTU/Hr
EX-73992:
- Shell MAWP = 305 psig @ 460
degF
- Tube MAWP = 305 psig @ 450
degF
- Duty = 33.8 MMBTU/Hr
EX-59524:
- Shell MAWP = 311 psig @ 650
degF
- Tube MAWP = 311 psig @ 650
degF
- Duty = 18.9 MMBTU/Hr
EX-17647:
- Shell MAWP = 305 psig @ 650
degF
- Tube MAWP = 305 psig @ 650
degF
- Duty = 29.7 MMBTU/Hr",,,,99-DWG-5906,,,PM-53688A/B/C,"Condensate Feed
Pumps",,,,,
,,,,,,,,,,,,,,,,FL-81314A/B,"Condensate Feed
Filter/Coalescer",,,,,
,,,,,,,,,,,,,99-DWG-5906 Redline,,,PM-53688A/B/C,"Condensate Feed
Pumps",,,,,
,,,,,,,,,,,,,,,,FL-81314A/B,"Condensate Feed
Filter/Coalescer",,,,,
,,,,,,,,,,,,,99-DWG-3609,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-3609 Redline,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-5128,,,EX-59524,"Diesel to Feed
Preheater",,,,,
,,,,,,,,,,,,,,,,EX-17647,"Bottoms to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-7145,,,T-81314,"VOC Stabilizer
Column",,,,,
"2. Node 2: VOC
Stabilizer Column, VOC
Stabilizer Reboiler, Distillation
Tower Feed Preheater to
Distillation Tower (T-81314, Heat
Exchanger EX 76255, 107)",,,,,,,,,"Bottoms through reboiler, heated
with heat transfer fluid, heat transfer
fluid flow controlled by column
temperature.
Bottoms feed to Distillation Tower
heated by heat transfer fluid (Heat
Exchanger EX-60820A/B), heat
transfer fluid flow controlled by
Distillation Tower feed temperature.
T-81314:
- Design = 120 psig MAWP @ 375
degF
- MDMT = 10 degF @ 120 psig",,,,99-DWG-7145,,,T-81314,"VOC Stabilizer
Column",,,,,
,,,,,,,,,,,,,99-DWG-8221,,,EX-76255,"VOC Stabilizer
Reboiler",,,,,
,,,,,,,,,,,,,,,,EX-60820,"Distillation Tower
Feed Preheater",,,,,
,,,,,,,,,,,,,99-DWG-8221 Redline,,,EX-76255,"VOC Stabilizer
Reboiler",,,,,
,,,,,,,,,,,,,,,,EX-60820,"Distillation Tower
Feed Preheater",,,,,
,,,,,,,,,,,,,99-DWG-7560,,,T-56446,Distillation Tower,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Page 6,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Title: DEMO Process Process Hazard
Analysis Study
Study Date: 2024/03/25-2024/04/15",,,,,,,,
DEMO Process Unit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Nodes,,,,,,,,,"Design Conditions/Parameters
EX-76255:
- Shell MAWP = 287 psig @ 650
degF
- Shell MDMT = 287 psig @ 20 degF
- Tube MAWP = 276 psig @ 700
degF
- Tube MDMT = 276 psig @ 20 degF
- Duty = 54.3 MMBTU/Hr
EX-60820:
- Shell MAWP = 227 psig @ 650
degF
- Shell MDMT = 227 psig @ 20 degF
- Tube MAWP = 218 psig @ 700
degF
- Tube MDMT = 218 psig @ 20 degF
- Duty = 121.7 MMBTU/Hr",,,,"Drawings /
References",,,Equipment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Tag,Description,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"3. Node 3: VOC
Stabilizer Column overhead
system: VOC Stabilizer
Condenser, Accumulator,
Pumps; and Y-Grade to
storage (AF-81314, PV-81314,
PM-81314A/B)",,,,,,,,,"Stabilizer overhead runs at 52954-120F,
90 psig, accumulator vents to
recycle compressor system
AF-81314:
- Design = 120 psig MAWP @ 300
degF
- Design Duty = 10.7 MMBTU/Hr
PV-81314:
- Design = 120 psig MAWP @ 300
degF
- MAWP = 708 psig @ 130 degF
- MDMT = 10 degF @ 120 psig
PM-81314A/B:
- GPM = 239, HP = 15, RPM = 3550
- Temp = 120 degF @ deltaP 56 psi",,,,99-DWG-7145,,,T-81314,"VOC Stabilizer
Column",,,,,
,,,,,,,,,,,,,99-DWG-7013,,,AF-81314,"VOC Stabilizer
Condenser",,,,,
,,,,,,,,,,,,,99-DWG-5469,,,PM-81314A/B,"VOC Stabilizer
Overhead Pumps",,,,,
,,,,,,,,,,,,,,,,PV-81314,"VOC Stabilizer
Accumulator",,,,,
,,,,,,,,,,,,,99-DWG-5469 Redline,,,PM-81314A/B,"VOC Stabilizer
Overhead Pumps",,,,,
,,,,,,,,,,,,,,,,PV-81314,"VOC Stabilizer
Accumulator",,,,,
"4. Node 4: Distillation Tower,
Distillation Tower Overheads
Pump, Bottoms to Feed
Preheater, Bottoms Product
to Desalter Wash Water
Heater, Bottom Product
Cooler and Distillation Tower
Bottoms Product to Storage
(T-56446, PM-59524A/B, AF-73992,
Heat Exchanger EX-17647,
Heat Exchanger EX-16773A/B)",,,,,,,,,"Distillation Tower Bottoms - 525-560F,
9-11 psig, temperature to storage =
140-160F, product flow rate = 250-
450 GPM; bottoms product
temperature controlled by turning fin
fans on/off
EX-81314:
- Shell MAWP = 305 psig @ 450
degF
- Tube MAWP = 305 psig @ 450
degF
- Duty = 1.34 MMBTU/Hr
AF-56446:
- Design = 50 psig MAWP @ 300
degF
- Design Duty = 150.5 MMBTU/Hr
PV-56446:
- Design = 50 psig MAWP @ 300
degF
- MDMT = 10 degF @ 50 psig
PM-73992A/B:
- MAWP = 533 psig @ 139 degF
- Design = 121 degF @ 119 psi
deltaP",,,,99-DWG-5128,,,EX-59524,"Diesel to Feed
Preheater",,,,,
,,,,,,,,,,,,,,,,EX-17647,"Bottoms to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-7145,,,T-81314,"VOC Stabilizer
Column",,,,,
,,,,,,,,,,,,,99-DWG-7560,,,T-56446,Distillation Tower,,,,,
,,,,,,,,,,,,,99-DWG-4069,,,PM-59524A/B,"Distillation Tower
Bottoms Product
Pumps",,,,,
,,,,,,,,,,,,,99-DWG-3162,,,AF-73992,"Bottoms Product
Cooler",,,,,
,,,,,,,,,,,,,40-PI-44741A,,,EX-47697A/B,"Bottoms Product to
Desalter Wash
Water Heater",,,,,
,,,,,,,,,,,,,,,,EX-16773A/B,"Bottoms Product to
Desalter Wash
Water Heater",,,,,
,,,,,,,,,,,,,99-DWG-3609,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-3609 Redline,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Page 7,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Title: DEMO Process Process Hazard
Analysis Study
Study Date: 2024/03/25-2024/04/15",,,,,,,,
DEMO Process Unit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Nodes,,,,,,,,,Design Conditions/Parameters,,,,"Drawings /
References",,,Equipment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Tag,Description,,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
"5. Node 5: Distillation Tower
Overhead System: Distillation
Tower Condenser,
Accumulator, Overhead
Pumps, Light VOC
Product Cooler and Light
VOC to Storage (AF-56446,
PV-56446, PM-73992 A/B, Heat
Exchanger EX-81314) to tanks
24/25",,,,,,,,,"Overhead pressure - 9-11 psig,
overhead temperature ~188F,
temperature to storage - 67-72F
after CH-1/2 chillers.
12 fin fan banks, 24 fans. Typically
run all fans, may be able to shut 5
fans in winter.
EX-17647:
- Shell MAWP = 305 psig @ 650
degF
- Tube MAWP = 305 psig @ 650
degF
- Duty = 29.7 MMBTU/Hr
T-56446:
- Design = 50 psig MAWP @ 575
degF
- MDMT = 50 psig @ -20 degF
PM-59524A/B:
- MAWP = 562 psig @ 575 degF @
deltaP 105 psi
- Design = 631 GPM, 75 HP, 3550
RPM, 548 degF
AF-73992:
- Design = 250 psig MAWP @ 625
degF
- Design Duty = 49.5 MMBTU/Hr",,,,99-DWG-3609,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-3609 Redline,,,EX-81314,"Light VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-56446,"Heavy VOC to
Feed Preheater",,,,,
,,,,,,,,,,,,,,,,EX-73992,"Kero to Feed
Preheater",,,,,
,,,,,,,,,,,,,99-DWG-7560,,,T-56446,Distillation Tower,,,,,
,,,,,,,,,,,,,99-DWG-4547,,,AF-56446,"Distillation Tower
Condenser",,,,,
,,,,,,,,,,,,,99-DWG-8403,,,AF-56446,"Distillation Tower
Condenser",,,,,
,,,,,,,,,,,,,99-DWG-5963,,,AF-56446,"Distillation Tower
Condenser",,,,,
,,,,,,,,,,,,,99-DWG-8355,,,PM-73992A/B,"Distillation Tower
Overhead Pumps",,,,,
,,,,,,,,,,,,,,,,PV-56446,"Distillation Tower
Accumulator",,,,,
,,,,,,,,,,,,,99-DWG-4893,,,,"Light VOC
Product to Storage",,,,,
,,,,,,,,,,,,,99-DWG-4893 Redline,,,,"Light VOC
Product to Storage",,,,,
