Node_ID,Node_Text,P&ID,Equipment_Tag,Equipment_Description,Design_Conditions
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-5906,PM-53688A/B/C,Condensate Feed Pumps,- 1472 GPM @ 776' TDH
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-5906,FL-81314A/B,Condensate Feed Filter/Coalescer,- MAWP = 325 psig @ 120 degF - Capacity = 1460 GPM
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-5906 Redline,PM-53688A/B/C,Condensate Feed Pumps,- 1472 GPM @ 776' TDH
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-5906 Redline,FL-81314A/B,Condensate Feed Filter/Coalescer,- MAWP = 325 psig @ 120 degF - Capacity = 1460 GPM
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-3609,EX-81314,Light Naphtha to Feed Preheater,- Shell MAWP = 305 psig @ 450 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 1.34 MMBTU/Hr
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-3609,EX-56446,Heavy Naphtha to Feed Preheater,- Shell MAWP = 305 psig @ 450 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 13.6 MMBTU/Hr
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-3609,EX-73992,Kero to Feed Preheater,- Shell MAWP = 305 psig @ 460 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 33.8 MMBTU/Hr
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-3609 Redline,EX-81314,Light Naphtha to Feed Preheater,- Shell MAWP = 305 psig @ 450 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 1.34 MMBTU/Hr
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-3609 Redline,EX-56446,Heavy Naphtha to Feed Preheater,- Shell MAWP = 305 psig @ 450 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 13.6 MMBTU/Hr
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-3609 Redline,EX-73992,Kero to Feed Preheater,- Shell MAWP = 305 psig @ 460 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 33.8 MMBTU/Hr
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-5128,EX-59524,Diesel to Feed Preheater,- Shell MAWP = 311 psig @ 650 degF - Tube MAWP = 311 psig @ 650 degF - Duty = 18.9 MMBTU/Hr
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-5128,EX-17647,Bottoms to Feed Preheater,- Shell MAWP = 305 psig @ 650 degF - Tube MAWP = 305 psig @ 650 degF - Duty = 29.7 MMBTU/Hr
Node 1,"Condensate Feed from Condenensate Feed Pumps to Condensate Feed Filter/Coalescer through Preheaters to Naphtha Stabilizer Column (Pumps PM-53688A/B, Filter FI-81314A/B, Heat Exchanger EX-81314/102/103/104/105)",99-DWG-7145,T-81314,Naphtha Stabilizer Column,"Feed from 97415-1/2/3 at ambient temperature; Desalter runs ~175- 180 degF, Desalter pressure ~140 psig, 1600 GPM maximum rate. Tie- in to Desalter between downstream of Heat Exchanger EX-59524 and upstream of Heat Exchanger EX- 105. Coalescers FL-81314A/B are currently bypassed. PM-53688A/B/C: - 1472 GPM @ 776' TDH FL-81314A/B (permanently bypassed): - MAWP = 325 psig @ 120 degF - Capacity = 1460 GPM EX-81314: - Shell MAWP = 305 psig @ 450 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 1.34 MMBTU/Hr EX-56446: - Shell MAWP = 305 psig @ 450 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 13.6 MMBTU/Hr EX-73992: - Shell MAWP = 305 psig @ 460 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 33.8 MMBTU/Hr EX-59524: - Shell MAWP = 311 psig @ 650 degF - Tube MAWP = 311 psig @ 650 degF - Duty = 18.9 MMBTU/Hr EX-17647: - Shell MAWP = 305 psig @ 650 degF - Tube MAWP = 305 psig @ 650 degF - Duty = 29.7 MMBTU/Hr"
Node 2,"Naphtha Stabilizer Column, Naphtha Stabilizer Reboiler, Combi Tower Feed Preheater to Combi Tower (T-81314, Heat Exchanger EX 76255, 107)",99-DWG-7145,T-81314,Naphtha Stabilizer Column,- Design = 120 psig MAWP @ 375 degF - MDMT = 10 degF @ 120 psig
Node 2,"Naphtha Stabilizer Column, Naphtha Stabilizer Reboiler, Combi Tower Feed Preheater to Combi Tower (T-81314, Heat Exchanger EX 76255, 107)",99-DWG-8221,EX-76255,Naphtha Stabilizer Reboiler,"Bottoms through reboiler, heated with heat transfer fluid, heat transfer fluid flow controlled by column temperature. Bottoms feed to Combi Tower heated by heat transfer fluid (Heat Exchanger EX-60820A/B), heat transfer fluid flow controlled by Combi Tower feed temperature. T-81314: - Design = 120 psig MAWP @ 375 degF - MDMT = 10 degF @ 120 psig"
Node 2,"Naphtha Stabilizer Column, Naphtha Stabilizer Reboiler, Combi Tower Feed Preheater to Combi Tower (T-81314, Heat Exchanger EX 76255, 107)",99-DWG-8221,EX-60820,COMBI Tower Feed Preheater,"Bottoms through reboiler, heated with heat transfer fluid, heat transfer fluid flow controlled by column temperature. Bottoms feed to Combi Tower heated by heat transfer fluid (Heat Exchanger EX-60820A/B), heat transfer fluid flow controlled by Combi Tower feed temperature. T-81314: - Design = 120 psig MAWP @ 375 degF - MDMT = 10 degF @ 120 psig"
Node 2,"Naphtha Stabilizer Column, Naphtha Stabilizer Reboiler, Combi Tower Feed Preheater to Combi Tower (T-81314, Heat Exchanger EX 76255, 107)",99-DWG-8221 Redline,EX-76255,Naphtha Stabilizer Reboiler,"Bottoms through reboiler, heated with heat transfer fluid, heat transfer fluid flow controlled by column temperature. Bottoms feed to Combi Tower heated by heat transfer fluid (Heat Exchanger EX-60820A/B), heat transfer fluid flow controlled by Combi Tower feed temperature. T-81314: - Design = 120 psig MAWP @ 375 degF - MDMT = 10 degF @ 120 psig"
Node 2,"Naphtha Stabilizer Column, Naphtha Stabilizer Reboiler, Combi Tower Feed Preheater to Combi Tower (T-81314, Heat Exchanger EX 76255, 107)",99-DWG-8221 Redline,EX-60820,COMBI Tower Feed Preheater,"Bottoms through reboiler, heated with heat transfer fluid, heat transfer fluid flow controlled by column temperature. Bottoms feed to Combi Tower heated by heat transfer fluid (Heat Exchanger EX-60820A/B), heat transfer fluid flow controlled by Combi Tower feed temperature. T-81314: - Design = 120 psig MAWP @ 375 degF - MDMT = 10 degF @ 120 psig"
Node 2,"Naphtha Stabilizer Column, Naphtha Stabilizer Reboiler, Combi Tower Feed Preheater to Combi Tower (T-81314, Heat Exchanger EX 76255, 107)",99-DWG-7560,T-56446,COMBI Tower,"Bottoms through reboiler, heated with heat transfer fluid, heat transfer fluid flow controlled by column temperature. Bottoms feed to Combi Tower heated by heat transfer fluid (Heat Exchanger EX-60820A/B), heat transfer fluid flow controlled by Combi Tower feed temperature. T-81314: - Design = 120 psig MAWP @ 375 degF - MDMT = 10 degF @ 120 psig"
Node 3,"Naphtha Stabilizer Column overhead system: Naphtha Stabilizer Condenser, Accumulator, Pumps; and Y-Grade to storage (AF-81314, PV-81314, PM-81314A/B)",99-DWG-7145,T-81314,Naphtha Stabilizer Column,"Stabilizer overhead runs at 52954-120F, 90 psig, accumulator vents to recycle compressor system AF-81314: - Design = 120 psig MAWP @ 300 degF - Design Duty = 10.7 MMBTU/Hr PV-81314: - Design = 120 psig MAWP @ 300 degF - MAWP = 708 psig @ 130 degF - MDMT = 10 degF @ 120 psig PM-81314A/B: - GPM = 239, HP = 15, RPM = 3550 - Temp = 120 degF @ deltaP 56 psi"
Node 3,"Naphtha Stabilizer Column overhead system: Naphtha Stabilizer Condenser, Accumulator, Pumps; and Y-Grade to storage (AF-81314, PV-81314, PM-81314A/B)",99-DWG-7013,AF-81314,Naphtha Stabilizer Condenser,- Design = 120 psig MAWP @ 300 degF - Design Duty = 10.7 MMBTU/Hr
Node 3,"Naphtha Stabilizer Column overhead system: Naphtha Stabilizer Condenser, Accumulator, Pumps; and Y-Grade to storage (AF-81314, PV-81314, PM-81314A/B)",99-DWG-5469,PM-81314A/B,Naphtha Stabilizer Overhead Pumps,"- GPM = 239, HP = 15, RPM = 3550 - Temp = 120 degF @ deltaP 56 psi"
Node 3,"Naphtha Stabilizer Column overhead system: Naphtha Stabilizer Condenser, Accumulator, Pumps; and Y-Grade to storage (AF-81314, PV-81314, PM-81314A/B)",99-DWG-5469,PV-81314,Naphtha Stabilizer Accumulator,- Design = 120 psig MAWP @ 300 degF - MAWP = 708 psig @ 130 degF - MDMT = 10 degF @ 120 psig
Node 3,"Naphtha Stabilizer Column overhead system: Naphtha Stabilizer Condenser, Accumulator, Pumps; and Y-Grade to storage (AF-81314, PV-81314, PM-81314A/B)",99-DWG-5469 Redline,PM-81314A/B,Naphtha Stabilizer Overhead Pumps,"- GPM = 239, HP = 15, RPM = 3550 - Temp = 120 degF @ deltaP 56 psi"
Node 3,"Naphtha Stabilizer Column overhead system: Naphtha Stabilizer Condenser, Accumulator, Pumps; and Y-Grade to storage (AF-81314, PV-81314, PM-81314A/B)",99-DWG-5469 Redline,PV-81314,Naphtha Stabilizer Accumulator,- Design = 120 psig MAWP @ 300 degF - MAWP = 708 psig @ 130 degF - MDMT = 10 degF @ 120 psig
Node 4,"Combi Tower, Combi Tower Overheads Pump, Bottoms to Feed Preheater, Bottoms Product to Desalter Wash Water Heater, Bottom Product Cooler and Combi Tower Bottoms Product to Storage (T-56446, PM-59524A/B, AF-73992, Heat Exchanger EX-17647, Heat Exchanger EX-16773A/B)",99-DWG-5128,EX-59524,Diesel to Feed Preheater,"Combi Tower Bottoms - 525-560F, 9-11 psig, temperature to storage = 140-160F, product flow rate = 250- 450 GPM; bottoms product temperature controlled by turning fin fans on/off EX-81314: - Shell MAWP = 305 psig @ 450 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 1.34 MMBTU/Hr AF-56446: - Design = 50 psig MAWP @ 300 degF - Design Duty = 150.5 MMBTU/Hr PV-56446: - Design = 50 psig MAWP @ 300 degF - MDMT = 10 degF @ 50 psig PM-73992A/B: - MAWP = 533 psig @ 139 degF - Design = 121 degF @ 119 psi deltaP"
Node 4,"Combi Tower, Combi Tower Overheads Pump, Bottoms to Feed Preheater, Bottoms Product to Desalter Wash Water Heater, Bottom Product Cooler and Combi Tower Bottoms Product to Storage (T-56446, PM-59524A/B, AF-73992, Heat Exchanger EX-17647, Heat Exchanger EX-16773A/B)",99-DWG-5128,EX-17647,Bottoms to Feed Preheater,"Combi Tower Bottoms - 525-560F, 9-11 psig, temperature to storage = 140-160F, product flow rate = 250- 450 GPM; bottoms product temperature controlled by turning fin fans on/off EX-81314: - Shell MAWP = 305 psig @ 450 degF - Tube MAWP = 305 psig @ 450 degF - Duty = 1.34 MMBTU/Hr AF-56446: - Design = 50 psig MAWP @ 300 degF - Design Duty = 150.5 MMBTU/Hr PV-56446: - Design = 50 psig MAWP @ 300 degF - MDMT = 10 degF @ 50 psig PM-73992A/B: - MAWP = 533 psig @ 139 degF - Design = 121 degF @ 119 psi deltaP"
